Domain ID,Application Domain,Domain Type,Domain Description,Scope Boundary / Exclusions,Parent / Related Domain IDs,Why Explore This Domain?,Possible Context / Setting,Potential Stakeholders,Processes Worth Exploring,Stakeholder Access,Access Basis / Contact Status,Local Relevance,Domain / Process Familiarity,Data / Evidence Potential,Preliminary Evidence / Source Basis,Preliminary Computing Research Potential,Possible SDG Relevance — Preliminary,Initial Concerns / Constraints,External Support / Facility Needs,Submitted By,Taxonomy Review Status,Preliminary Review Recommendation,Next Validation Action
D01,Agricultural Production and Farm Operations,Sector,"Crop and livestock production, including day-to-day farm planning and operations before post-production distribution.","On-farm crop and livestock production; excludes food logistics (D09), fisheries production (D10), and environmental measurement as the primary purpose (D18).","Related: D06, D09, D10","A major local livelihood with observable production, coordination, and record-keeping processes.","Crop and livestock farms, cooperatives, agriculture offices, agribusinesses","Farmers, farm workers, cooperatives, agriculture officers, agribusiness operators","Production planning, crop and livestock monitoring, irrigation, input use, disease reporting, harvest records, farm records",Medium,Possible route through agriculture offices or cooperatives; no named partner or farmer participation confirmed.,High,Medium,Medium,PSA and Department of Agriculture background data support sector relevance; exact Iloilo source citations and local process evidence are still required.,High,"SDG 2, 6",Farmer or cooperative access; incomplete farm records; seasonal crop cycles; field travel; connectivity and device constraints.,Agriculture officer or cooperative partner; field instruments only if required by the selected process.,AI-assisted draft,Confirmed,Explore,"Secure one farm, cooperative, or agriculture-office partner and investigate one production process."
D02,"Teaching, Learning, and Academic Administration",Sector,"Educational processes directly related to instruction, assessment, academic records, and school administration.","Teaching, learning, assessment, academic records, and administration; excludes accessibility (D14), student support (D15), work transition (D16), and local-language resources (D22) as primary concerns.","Related: D14, D15, D16, D22","Students and educators are accessible, and many academic processes can be observed without assuming a technology.","Public and private schools, universities, classrooms, academic offices, learning environments","Students, teachers, academic coordinators, registrars, school administrators","Instruction and learning-resource access, assessment, scheduling, enrollment, academic records, administrative workflows",Medium,"Students are directly reachable; school staff, institutional approval, and authorized records remain unconfirmed.",High,High,Medium,DepEd policy and education statistics provide background; local school-process evidence and authorized records are not yet collected.,High,SDG 4,School approval; student privacy; timetable constraints; uneven facilities and connectivity; access to authorized process records.,"School approval and cooperation from the relevant teacher, registrar, administrator, or student-service office.",AI-assisted draft,Confirmed,Explore,Choose one school or campus process and obtain the required approval before collecting baseline evidence.
D03,Healthcare Service Delivery and Public Health Operations,Sector,"Delivery and coordination of clinical, community, and administrative health services, without assuming access to clinical data.",Formal healthcare and public-health service workflows; excludes routine public safety (D13) and non-clinical student support (D15) as primary concerns.,Related: D15,"The domain contains consequential service problems, but meaningful study requires a formal health-sector access pathway.","Rural health units, clinics, hospitals, public-health offices, community health programs","Patients, healthcare workers, health administrators, public-health personnel","Appointments, queues, referrals, non-clinical records, service coordination, supply workflows, public-health reporting",Low,No health-facility partner or approved access route has been confirmed.,High,Low,Low,DOH and WVMC public information provide background; no accessible local workflow records are confirmed.,High,SDG 3,Formal health-facility partner; ethics and privacy approval; restricted clinical records; professional oversight; limited testing access.,"Health-facility partner, ethics/privacy approval, and professional oversight.",AI-assisted draft,Confirmed,Hold,Seek a non-clinical health-workflow partner and an ethics/privacy route; otherwise keep the domain deferred.
D04,Passenger Mobility and Local Transport Operations,Sector,Movement of passengers through local transport services and the operations that support commuting and mobility.,Passenger mobility and transport operations; excludes food freight and logistics (D09) and destination-service management (D11).,"Related: D11, D14","Commuter experiences and route conditions can be observed directly, while operational records may require permission.","Public-transport routes, terminals, urban corridors, campuses, parking areas","Students, commuters, drivers, operators, transport and traffic personnel","Route use, waiting time, scheduling, passenger information, terminal operations, parking, mobility accessibility",High,"Commuters are directly reachable and routes are observable; TTMO, drivers, and operators remain unconfirmed.",High,High,Medium,Direct route observations and commuter interviews are feasible; TTMO or operator records are unverified.,Medium,SDG 11,TTMO or route-operator permission; route and traffic records may be unavailable; time and seasonal variation; field-observation safety.,TTMO or route/operator cooperation if operational records are required.,AI-assisted draft,Confirmed,Hold,"Conduct timed observations and commuter interviews on one route, then determine whether agency records are necessary."
D05,Disaster Risk Reduction and Preparedness,Cross-cutting,Hazard-specific planning and coordinated action that reduce risk and prepare communities before and during emergencies.,"Hazard-risk reduction and preparedness; excludes routine safety response (D13), environmental measurement (D18), and long-term adaptation planning (D19).","Related: D13, D19","Communities face recurring hazards, and preparedness processes can be examined before selecting a technology.","Hazard-prone barangays, evacuation centers, schools, municipal DRRM operations","Residents, barangay officials, DRRMO personnel, responders, school safety staff","Risk communication, preparedness planning, warning dissemination, evacuation planning, drills, relief readiness",Medium,Residents may be reachable; barangay or DRRMO participation and operational records require approval.,High,Medium,Medium,PDRRMO/CDRRMO plans and public hazard information provide background; local process evidence is not yet collected.,High,"SDG 11, 13",PDRRMO or LGU permission; sensitive incident records; responder availability; emergency testing limits; hazard-specific scope.,"Barangay or LGU DRRMO partner and a safe drill, simulation, or planning setting.",AI-assisted draft,Confirmed,Hold,"Select one hazard, locality, and preparedness process, then contact the relevant barangay or DRRMO."
D06,Water Service and Resource Management,Sector,"Management of water supply, distribution, use, routine quality oversight, and related service infrastructure.","Water supply, distribution, use, and service operations; excludes environmental measurement as the primary purpose (D18) and ecosystem-restoration management (D25).","Related: D01, D08, D18, D25",Water-service conditions affect households and institutions and contain observable reporting and operational processes.,"Communities, campuses, farms, water districts, shared water systems","Households, water providers, barangay officials, farmers, facility managers","Supply scheduling, usage records, leak reporting, routine quality checks, pump and storage operations, service complaints",Medium,"Households may be reachable; water-provider, district, and laboratory access remain unconfirmed.",High,High,Medium,Water-agency and EMB sources provide background; provider records and water-quality evidence are unverified.,High,"SDG 6, 11",Utility or provider permission; restricted operational data; sampling and laboratory costs; seasonal variation; data ownership.,Water provider; calibrated instruments and a reference laboratory if water-quality testing is selected.,AI-assisted draft,Confirmed,Hold,"Choose supply, quality, conservation, or irrigation, then secure the matching provider and evidence route."
D07,Solid Waste Management Operations,Sector,"Operational processes for segregating, collecting, recovering, recycling, treating, and disposing of solid waste.",Solid-waste operations; excludes environmental-condition measurement (D18) and ecosystem-restoration management (D25).,"Related: D12, D18, D25",Waste operations are visible in schools and communities and can produce measurable evidence at a bounded site.,"Campuses, barangays, markets, collection points, materials recovery facilities","Households, students, facility staff, waste collectors, barangay and municipal personnel","Segregation, collection scheduling, route operations, recovery and recycling, reporting, waste-volume recording",Medium,"Campus or barangay observation is feasible; no approved site, MRF, or LGU partner is confirmed.",High,High,Medium,Official solid-waste policy and direct site audits can provide evidence; no local baseline or approved site is confirmed.,High,"SDG 11, 12",Barangay or campus permission; sanitation and PPE; consistent waste measurement; collector cooperation; behavior variability.,"Campus, barangay, or MRF approval; PPE and a consistent waste-measurement protocol.",AI-assisted draft,Confirmed,Explore,"Select one campus or barangay site, obtain permission, and conduct a baseline audit of one waste process."
D08,Energy Use and Facility Energy Management,Sector,"Operational monitoring and management of energy use, reliability, and efficiency in households and facilities.",Energy-use and facility-energy operations; excludes water-service operations (D06) and general residential maintenance (D17).,"Related: D06, D17","Energy use creates measurable costs and service concerns in homes, schools, businesses, and public facilities.","Homes, campuses, offices, small businesses, public buildings","Households, students, facility managers, business owners, power-service personnel","Consumption records, peak-use assessment, equipment scheduling, outage reporting, facility energy assessment",Medium,Household or campus access is plausible; facility and utility records require permission.,High,Medium,Medium,DOE and distributor sources provide background; facility-level consumption and equipment records are unverified.,High,"SDG 7, 12, 13",Meter or utility data access; electrical safety; hardware cost; facility permission; changing usage patterns.,"Facility manager, electrical-safety supervision, and meters or sensors if hardware is involved.",AI-assisted draft,Confirmed,Hold,"Choose one facility and one issue—consumption, reliability, scheduling, or reporting—and verify data and safety access."
D09,Food Logistics and Supply-Chain Operations,Sector,"Movement, handling, storage, and coordination of food after production through markets and consumers.","Post-production food movement, handling, storage, and coordination; excludes farm or fisheries production (D01, D10) and passenger transport (D04).","Related: D01, D10, D23","Delays, spoilage, stock uncertainty, and coordination problems may be observable when one commodity chain is selected.","Farms and landing points, markets, cooperatives, storage areas, retailers, delivery routes","Producers, traders, vendors, transporters, retailers, consumers","Inventory recording, storage conditions, shipment and delivery coordination, demand records, traceability, spoilage reporting",Medium,Vendors and consumers may be reachable; no commodity-chain partner or commercial records are confirmed.,High,Medium,Medium,Sector reports and participant interviews may provide evidence; commodity-specific commercial records are unverified.,Medium,"SDG 2, 12",Commercially sensitive records; fragmented supply-chain data; seasonal supply; cold-storage access; participant availability.,One commodity-chain partner and storage or cold-chain access if relevant.,AI-assisted draft,Confirmed,Drop,Reconsider only after one commodity-chain partner and one transition point are confirmed.
D10,Fisheries and Aquaculture Production,Sector,"Capture fisheries and farmed aquatic production, including operational and biological processes before distribution.",Fisheries and aquaculture production; excludes post-production food logistics (D09) and general environmental monitoring (D18).,"Related: D01, D09, D18, D25","The sector is locally important, but research requires sustained access to production sites, operators, or technical experts.","Fishing communities, fishponds, landing sites, hatcheries, aquaculture facilities","Fishers, fish farmers, fisheries officers, technical experts, coastal communities","Production planning, feeding, stock and catch records, disease observation, harvest, landing records",Low,"No committed fisheries site, operator, expert, dataset, or laboratory access is confirmed.",High,Low,Low,"BFAR, UPV, and SEAFDEC sources provide background; site datasets, expert labels, and laboratory access are unverified.",High,"SDG 2, 14","Sustained field-site and fisher access; BFAR, UPV, or SEAFDEC expert support; equipment and laboratory fees; weather and seasonality.","BFAR, UPV, SEAFDEC, or equivalent expert support; field site and possible laboratory or equipment.",AI-assisted draft,Confirmed,Drop,"Reconsider only after a fisheries partner, field site, expert, schedule, and total cost are confirmed."
