Concept ID,Domain ID,Application Domain,Stakeholder(s),Context / Setting,Current Process / Situation,Candidate Problem,Observed / Expected Consequence,Affected Party,Initial Problem Statement,Source of Idea,Initial Evidence Available?,Stakeholder Access,Data / Evidence Access,Potential Computing Relevance,Scope Feasibility,Initial Concerns,Submitted By,Duplicate / Related To,Initial Decision,Reason for Decision,Notes,Date Added,Early Ethics / Privacy Risk,Evidence Classification,Evidence Scope,Magnitude Status,Conflicting Evidence / Alternative Explanation,Evidence Reachability,Stakeholder Access Status,Ethics / Privacy / Safety / Permission Sensitivity,Working Status,Next Action,Record Owner
C01,D02,"Teaching, Learning, and Academic Administration","Students, academic offices, and faculty advisers",One selected university academic-service transaction,"Students consult separate pages, ask peers, or visit offices to learn requirements and process steps","For one academic transaction, requirements, responsible offices, and process steps may be difficult to locate consistently across official and informal sources","Repeated inquiries, unnecessary visits, incomplete submissions, and delayed completion",Students and university staff,"Students completing one selected academic transaction currently rely on separate official and informal sources, but requirements and process steps may be difficult to locate consistently, potentially causing repeated inquiries, incomplete submissions, and delays.",Domain Explorer + group brainstorming,Unknown,High,Medium,High,High,Select exactly one transaction; compare only approved official requirements with actual inquiry and completion records.,AI-assisted curation,—,Hold,"Passes scope, access, and measurability gates; impact must be established from one transaction's repeated inquiries, incomplete submissions, and completion time.",Local evidence required before shortlisting: map the official workflow and quantify recurrence over one defined period.,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Unconfirmed,Likely,Low,Investigate,Local evidence required before shortlisting: map the official workflow and quantify recurrence over one defined period.,
C02,D07,Solid Waste Management Operations,"Facility managers, maintenance staff, and building users",Selected university buildings or common areas,Waste conditions are handled through routine inspection or informal reports,Waste volume and segregation problems may not be recorded consistently by location and time,Recurring problem areas may be missed or prioritized inefficiently,"Facility managers, maintenance staff, and building users","Facility staff in selected university buildings currently inspect waste conditions through routine checks or informal reports, but location- and time-based records may be incomplete, potentially limiting prioritization of recurring problem areas.",Domain Explorer + group brainstorming,Unknown,High,Medium,High,Medium,"Define limited waste categories, safe observation rules, and an operational consequence such as collection frequency, overflow duration, or contamination rate.",AI-assisted curation,—,Hold,Passes observability and computing-relevance gates; remains conditional until the operational consequence and recurrence are demonstrated.,Use non-identifying observations in selected areas and avoid interpreting individual behavior from waste conditions.,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Unconfirmed,Likely,Low,Investigate,Use non-identifying observations in selected areas and avoid interpreting individual behavior from waste conditions.,
C03,D16,"Employment, Skills, and School-to-Work Transition","Students, recent graduates, career offices, and local employers",University-to-employment transition for one entry-level role family,Students review vacancies individually and estimate whether their current skills match employer requirements,Required skills across comparable entry-level vacancies may be difficult to compare systematically,Preparation and applications may be unfocused while relevant skill gaps remain unclear,Students and recent graduates,"Students preparing for one entry-level role family currently review vacancies individually, but required skills across comparable postings may be difficult to compare systematically, potentially causing unfocused preparation and unclear skill gaps.",Domain Explorer + PSA workforce evidence,Some,High,High,High,High,"Use one role family, a defined posting period, transparent sampling, and employer or career-office triangulation; postings may not equal actual hiring priorities.",AI-assisted curation,—,Hold,"Strong public-data route, bounded comparison, and meaningful school-to-work consequence; local interpretation still needs stakeholder validation.",Official context: https://psa.gov.ph/content/psa-clears-jobs-and-skills-survey-encourages-participation-data-driven-evaluation-workforce,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Likely,Likely,Low,Investigate,Official context: https://psa.gov.ph/content/psa-clears-jobs-and-skills-survey-encourages-participation-data-driven-evaluation-workforce,
C04,D16,"Employment, Skills, and School-to-Work Transition","Students, career-office staff, internship coordinators, and partner employers",One university internship or placement cycle,"Applications, requirements, endorsements, and updates are coordinated through email, messages, forms, and spreadsheets","Application status, handoffs, and outstanding requirements may be fragmented across communication channels","Repeated follow-ups, incomplete handoffs, and avoidable processing delays may occur","Students, coordinators, and partner employers","Students and coordinators in one internship cycle currently manage requirements and status updates through several channels, but records and handoffs may be fragmented, potentially causing repeated follow-ups and processing delays.",Domain Explorer + group brainstorming,Unknown,High,Medium,High,High,"Confirm access to one complete cycle, define status and delay measures, and protect personal and employer information.",AI-assisted curation,—,Hold,Strong multi-actor workflow with measurable status gaps and delays; shortlisting requires an approved cycle and complete enough records.,"Map one cycle and count incomplete, duplicated, or delayed handoffs without evaluating individual performance.",2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Unconfirmed,Likely,Medium,Investigate,"Map one cycle and count incomplete, duplicated, or delayed handoffs without evaluating individual performance.",
C05,D04,Passenger Mobility and Local Transport Operations,Student commuters and public-transport drivers,One approved pickup point on one route during defined peak periods,Students estimate departure and waiting time using routine experience or informal updates,Vehicle arrival intervals and passenger waiting time may be unpredictable at the selected pickup point,Students may arrive late or allocate excessive buffer time,Student commuters,"Student commuters using one selected route currently estimate departure and waiting time from experience or informal updates, but arrival intervals may vary substantially, potentially causing late arrival or excessive waiting.",Domain Explorer + group brainstorming,Unknown,High,Medium,High,Medium,"Use one safe approved observation point; control for weather, traffic, day type, and observation period; do not identify drivers or passengers.",AI-assisted curation,Related to C06,Hold,Passes local observability and outcome-measurement gates; must prove recurrence and variability before any prediction concept is considered.,Record arrival intervals and waiting time across comparable periods and establish a simple schedule or historical-average baseline.,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Unconfirmed,Likely,Low,Investigate,Record arrival intervals and waiting time across comparable periods and establish a simple schedule or historical-average baseline.,
C06,D04,Passenger Mobility and Local Transport Operations,"Students, employees, drivers, and campus security personnel",One university entrance or loading/drop-off point during peak arrival,"Drivers stop, load, unload, and queue according to available space and informal coordination",Vehicle and pedestrian movement may become uncoordinated at the selected point during peak periods,"Localized queueing, obstruction, delay, and pedestrian conflict may recur",Campus users and security personnel,"Drivers and campus users at one selected loading or drop-off point currently coordinate through available space and informal practices, but peak-period flows may become uncoordinated, potentially causing recurring queueing, obstruction, and delay.",Domain Explorer + group brainstorming,Unknown,High,Medium,High,Medium,"Use an approved safe observation position and operational definitions for queue length, obstruction, delay, and pedestrian conflict.",AI-assisted curation,Related to C05,Hold,Bounded operational problem with measurable recurrence and safety-related consequences; requires site permission and a defensible observation protocol.,"Measure recurrence, duration, and peak conditions without identifying individuals or making enforcement judgments.",2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Unconfirmed,Likely,Low,Investigate,"Measure recurrence, duration, and peak conditions without identifying individuals or making enforcement judgments.",
C07,D15,Student Support Services and Academic Well-being,Students and teachers,One program or year level during a defined assessment period,Teachers schedule assessments within individual courses while students combine requirements across subjects,Major deadlines and assessments may cluster across subjects within short time windows,Preparation time may be compressed and prioritization made more difficult,Students,"Students taking a defined set of courses currently combine independently scheduled assessments, but major requirements may cluster within short periods, potentially compressing preparation time and complicating prioritization.",Domain Explorer + group brainstorming,Unknown,High,High,Medium,High,Measure schedule clustering separately from study habits; use published schedules first and collect only limited voluntary feedback.,AI-assisted curation,—,Hold,"Feasible, non-sensitive scheduling analysis with a clear baseline; impact remains moderate and must be shown without overclaiming wellbeing or learning effects.",Calculate clustering frequency and workload proxies during one period before considering coordination or decision-support concepts.,2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Unconfirmed,Likely,Medium,Investigate,Calculate clustering frequency and workload proxies during one period before considering coordination or decision-support concepts.,
C08,D01,Agricultural Production and Farm Operations,Small-scale irrigating farmers and agricultural advisers,One crop and one accessible irrigated field setting during a dry period,Irrigation timing and amount are determined mainly through visual judgment and routine practice,Current irrigation decisions may not consistently match crop and soil moisture needs,Over- or under-irrigation may waste water and reduce crop quality or yield,Small-scale irrigating farmers,"Farmers in one selected crop setting currently determine irrigation timing and amount mainly through visual judgment, but decisions may not consistently match reference moisture needs, potentially causing water waste or crop stress.",Group-provided screened problem list,Unknown,Medium,Medium,High,Medium,"Requires a farm partner, reference soil-moisture measurements, one crop, and separation of decision error from water-supply and weather constraints.",AI-assisted curation,—,Hold,Narrow decision bottleneck with quantifiable resource and crop indicators; shortlisting depends on field access and a credible reference measurement.,"Document the current decision rule and compare it with reference measurements before proposing sensing, prediction, or automation.",2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Unconfirmed,Unconfirmed,Low,Investigate,"Document the current decision rule and compare it with reference measurements before proposing sensing, prediction, or automation.",
C09,D01,Agricultural Production and Farm Operations,Small-scale farmers and produce buyers,One locally relevant perishable crop during one harvest period,Harvest timing is judged from experience and visible maturity cues,Current maturity judgments may not consistently identify the acceptable harvest window for the selected crop,Harvesting outside the target maturity window may reduce quality and market value,Small-scale farmers,"Farmers producing one selected perishable crop currently judge harvest timing from experience and visible cues, but maturity decisions may not consistently match an accepted reference window, potentially reducing quality and market value.",Group-provided screened problem list,Unknown,Medium,Medium,High,Medium,"Define one crop, an accepted maturity reference, the harvest window, postharvest quality measures, and reliable ground truth.",AI-assisted curation,—,Hold,Bounded timing decision with measurable quality and economic consequences; requires local crop access and qualified ground truth.,Compare current judgments with accepted maturity and quality measures rather than treating image classification accuracy as the outcome.,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Unconfirmed,Unconfirmed,Low,Investigate,Compare current judgments with accepted maturity and quality measures rather than treating image classification accuracy as the outcome.,
C10,D01,Agricultural Production and Farm Operations,"Small-scale grain farmers, dryer operators, and agricultural advisers","One grain, drying method, and storage setting in tropical conditions","Drying and storage decisions may rely on elapsed time, weather, touch, or occasional measurements",Moisture may not be monitored consistently enough to confirm safe and uniform drying or storage conditions,"Incomplete, delayed, or uneven drying can reduce grain quality and increase spoilage risk",Farmers and grain handlers,"Farmers or dryer operators using one selected drying and storage process may lack consistent moisture-based decision records, potentially allowing incomplete or uneven drying and avoidable grain-quality loss.",Group-provided screened problem list + PHilMech evidence,Some,Medium,Medium,High,Medium,"Use one grain, a calibrated reference moisture instrument, safe sampling, and a measurable quality outcome; do not make food-safety claims without qualified testing.",AI-assisted curation,—,Hold,Strong measurable postharvest-control problem with authoritative evidence and a defensible baseline; local partner and process data are still required.,Official evidence: https://rcef.philmech.gov.ph/?action=grainDrying&page=knowledgeBank,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,Low,Investigate,Official evidence: https://rcef.philmech.gov.ph/?action=grainDrying&page=knowledgeBank,
C11,D24,Digital Safety and Data Privacy Practices,Students and institutional IT or data-protection personnel,Authorized phishing-awareness and reporting exercises in one university unit,Users judge suspicious messages individually and may be unsure how to report or escalate them,Students may have difficulty identifying selected phishing cues and following the institution's approved reporting process,"Risky responses, delayed reporting, and incomplete incident information may reduce the effectiveness of early response",Students and institutional support personnel,"Students in one university unit may recognize some suspicious-message cues but remain inconsistent in classifying selected scenarios and following the approved reporting process, potentially delaying safe escalation.",Official privacy advisories + benchmark gap scan,Some,High,Medium,High,High,Use only authorized simulated messages; never collect passwords or real credentials; coordinate with IT or the data-protection office and measure reporting behavior safely.,AI-assisted curation,—,Hold,High relevance and feasible controlled evaluation with clear behavioral and process measures; requires formal authorization and a non-deceptive debrief protocol.,Official context: https://privacy.gov.ph/npc-phe-bulletin-no-21-preventive-data-privacy-practices-against-smishing/,2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Likely,Likely,Medium,Investigate,Official context: https://privacy.gov.ph/npc-phe-bulletin-no-21-preventive-data-privacy-practices-against-smishing/,
C12,D23,MSME Operations and Digital Commerce,Local micro-retailers or online sellers,One small business handling orders and stock across two or more sales channels,"Orders, stock changes, and fulfillment status may be tracked separately in messages, platform dashboards, notebooks, or spreadsheets",Inventory and order status may become inconsistent across channels,"Overselling, missed updates, duplicate work, stockouts, or delayed fulfillment may occur","Micro-business owners, staff, and customers","A local micro-retailer using multiple sales channels may maintain order and inventory status in separate records, potentially causing inconsistent stock counts, repeated reconciliation, and fulfillment errors.",DTI digitalization priorities + benchmark gap scan,Some,Medium,Medium,High,Medium,"Requires one willing business partner, a defined product set and period, and protection of customer, sales, and financial data.",AI-assisted curation,—,Hold,"Meaningful MSME operational problem with measurable error, reconciliation-time, and fulfillment outcomes; shortlisting depends on partner access and proof of recurrence.",Official context: https://supplychainlogistics.dti.gov.ph/strategic-play/digitalization,2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,Medium,Investigate,Official context: https://supplychainlogistics.dti.gov.ph/strategic-play/digitalization,
C13,D08,Energy Use and Facility Energy Management,"Facility managers, maintenance staff, and room users",Selected classrooms or offices in one building,"Lights, cooling, and plug loads are switched manually according to room use and routine checks",Energy-consuming equipment may remain active during unoccupied periods because occupancy and shutdown checks are not recorded consistently,Avoidable electricity use and operating cost may accumulate,Facility managers and the institution,"Selected rooms in one building may rely on manual switching and routine checks, but equipment use during unoccupied periods may not be recorded consistently, potentially causing avoidable electricity consumption.",DOE energy-efficiency policy + benchmark gap scan,Some,High,High,High,High,"Obtain facility permission, measure only approved circuits or equipment, control for room schedule and weather, and use a simple manual or schedule-based baseline.",AI-assisted curation,—,Hold,"High feasibility, objective outcome measures, and direct institutional impact; must confirm that unoccupied consumption is recurrent and material.",Official context: https://doe.gov.ph/site/eppb/articles/895904--energy-efficiency-and-conservation-roadmap-2017-2040,2026-08-14,Low,Discovery,Unknown,Not established,Not yet checked,Likely,Likely,Low,Investigate,Official context: https://doe.gov.ph/site/eppb/articles/895904--energy-efficiency-and-conservation-roadmap-2017-2040,
C14,D14,Accessibility and Inclusive Participation,"Students with disabilities, web administrators, and service-office staff",One high-use university digital service or online form,Users complete the service through an existing webpage or digital form with varying assistive-technology support,The selected digital service may contain accessibility barriers that prevent or slow independent task completion,"Users may encounter failed steps, longer completion time, or reliance on assistance",Students with disabilities and other users with access needs,"Users of one selected university digital service may encounter WCAG-related and task-level accessibility barriers, potentially preventing independent completion or increasing time and assistance required.",DICT accessibility standard + benchmark gap scan,Some,High,High,High,High,"Start with standards-based audit; involve representative users only with accessible consent, reasonable accommodations, and no unnecessary disability disclosure.",AI-assisted curation,—,Hold,"Strong standards-based evaluation path, bounded service task, and inclusion impact; requires careful co-validation with representative users or accessibility experts.",Official context: https://ictstatistics.dict.gov.ph/resources/,2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Likely,Likely,Medium,Investigate,Official context: https://ictstatistics.dict.gov.ph/resources/,
C15,D06,Water Service and Resource Management,"Households in one service zone, water-provider operators, and barangay or facility managers",One small water system or selected distribution zone with intermittent or variable service,"Operators rely on service complaints, pump or valve checks, and periodic or manual operating logs","Pressure, flow, and interruption events—and their likely operational causes—may not be recorded consistently by location and time","Service failures may be detected or diagnosed late, causing unstable service hours, repeated complaints, avoidable water loss, or inefficient maintenance",Households and water-provider personnel,"A selected local water system currently relies on complaints and periodic checks, but pressure, flow, and interruption events may not be recorded consistently by zone and time, potentially delaying detection and diagnosis of recurring service failures.",PIDS water-sector evidence + peer-reviewed intermittent-network and IoT monitoring studies,Some,Medium,Medium,High,Medium,"Requires provider permission, calibrated pressure or flow references, safe installation, a defined service zone, and controls for demand, power outages, and seasonal conditions; pressure change alone must not be labeled a leak.",AI-assisted curation,—,Hold,"Passes significance, computing-necessity, and evaluation gates using event-detection delay, service-hour reliability, record completeness, and comparison with manual logs; local recurrence and provider access remain unverified.",Evidence: https://www.pids.gov.ph/details/news/press-releases/water-districts-fall-behind-as-demand-exceeds-supply-pids-study | https://doi.org/10.3390/W12082143 | https://doi.org/10.3390/S20154247,2026-08-14,Medium,Discovery,Unknown,Not established,Not yet checked,Likely,Unconfirmed,Medium,Investigate,Evidence: https://www.pids.gov.ph/details/news/press-releases/water-districts-fall-behind-as-demand-exceeds-supply-pids-study | https://doi.org/10.3390/W12082143 | https://doi.org/10.3390/S20154247,
